NB,LATITUDE,LONGITUDE,NAME,NAME_MOD,AUTH_ANC,AUTH_MOD,COUNTRY,AM,PP,RE,BW,QU,MO,CN,SL,SH,PH,CO
572,39.127809,16.065528,Clampetia ,near Amantea,,"Flemming, BAtlas",Italy West,m,,,,,,,,,,
573,39.076278,16.082671,,Aiello near Corica ,,BAtlas,Italy West,m,,,,,,,,,,
574,39.027944,16.094554,"Temesa, Tamèse, Tempsa ",outlet of R Savuto 10 km South of Amantea,"Homer, Odyssey, 1, 184","Flemming, BAtlas",Italy West,a,,,,,,,,,,
575,38.927322,16.207315,Terina ,Lamezia Terme,,"Flemming, BAtlas",Italy West,m,,,,,,,,,,
576,38.898236,16.212558,Port Parthenius of the phoceans ,"unlocalized, in the gulf of Eufemia near the airport of Lamezia Terme, idem Terina ?","Pliny, Hist Nat, 3, 10 ; Solinus, Polyhistor, 2",CG,Italy West,a,,,,,,,,,,
577,38.855308,16.212020,Bruttium ,"Calabria, near Lamezia Terme or Maida ?","Diodorus, Hist, 19, 103",,Italy West,a,,,,,,,,,,
578,38.845734,16.211913,Acconia ,idem Bruttium ?,,BAtlas,Italy West,m,,,,,,,,,,
579,38.773926,16.192327,Ad Fluvium Angitulam ,near Pizzo Calabro,,BAtlas,Italy West,m,,,,,,,,,,
580,38.725892,16.115236,"Hipponium, Hipponion, Vibo ",Vibo Valentia,"Strabo, 6, 1","Lehmann, Flemming",Italy West,a,p,rs,X,,,,,,,
581,38.683746,15.908708,"Trapeia, Port of Hercules ",Tropea,"Strabo, 6, 1 ; Pliny, Hist Nat, 3, 10",,Italy West,a,,,,,,,,,,
582,38.545206,15.921164,,Nicotera ,,BAtlas,Italy West,m,,,,,,,,,,
583,38.499643,15.968187,"Emporium, port of Medma ",Rosarno,"Strabo, Geogr, 6,1","CG, Flemming",Italy West,a,,,,,,,,,,
584,38.421553,15.871137,Port at the outlet of R Métaure ,"R Mesima, near Gioia Tauro","Strabo, Geogr, 6,1",,Italy West,a,,,,,,,,,,
585,38.386416,15.855318,Taurianum ,near Lido di Palmi,,BAtlas,Italy West,m,,,,,,,,,,
586,38.349871,15.830137,Port of Oreste ,"Palmi, Porto Ravaglioso","Pliny, Hist Nat, 3, 10",CG,Italy West,a,,,,,,,,,,
587,38.259242,15.715591,Scyllaeum ,Scilla,,Flemming,Italy West,m,,,,,,,,,,
588,38.223947,15.629415,Kainys ,near Villa San Giovanni,,BAtlas,Italy West,m,,,,,,,,,,
589,38.178472,15.636385,Ad Columnam ,near Catona,,BAtlas,Italy West,m,,,,,,,,,,
590,38.109425,15.634658,Rhegium ,"Rhège, Reggio di Calabria","Livy, Hist, 24, 1 ; Diodorus, Hist, 13, 2 & 14, 25; Dio Cassius, Hist, 48, 18 ; Luc, Actes, 28.13 ; Thucydides, Péloponnèse, 6, 50 ; Plutarch, Timoléon, 10 ; Antonine, Itin Mar",Flemming,Italy West,a,,,,,,,,,,
591,38.006879,15.632315,Leucopetra ,near Bocale,,BAtlas,Italy West,m,,,,,,,,,,
592,37.912551,15.792908,Decastadium ? ,near Melito di Porto Salvo,,BAtlas,Italy West,m,,,,,,,,,,
593,37.913953,15.993325,Scyle ,near Palizzi Marina,,BAtlas,Italy West,m,,,,,,,,,,
594,37.926494,16.070617,Hipporum ,near Galati,,BAtlas,Italy West,m,,,,,,,,,,
595,38.042511,16.148599,"Zephyrium, Zeffiro ",Capo Bruzzano near Africo,"Antonine, Itin Mar",BAtlas,Italy West,a,,,,,,,,,,
596,38.117820,16.158269,,Villa Romana di Casignana ,,BAtlas,Italy West,m,,,,,,,,,,
597,38.141495,16.177826,Altanum ? ,near Bovalino,,BAtlas,Italy West,m,,,,,,,,,,
598,38.226004,16.266529,"Lokroi Epizephyrioi, Locri Epizefiri, Locres ",Locri,"Livy, Hist, 24, 1 ; Pliny, Hist Nat, 3, 15 ; Thucydides, Péloponnèse, 4, 1","Lehmann, Flemming",Italy West,a,,,,,,,,,,
599,38.293092,16.333741,Subsicivo ? ,near Marina di Gioiosa Ionica,,BAtlas,Italy West,m,,,,,,,,,,
600,38.318166,16.413143,Santo Onofrio ,near Roccella Ionica,,BAtlas,Italy West,m,p,,,,,,,,,
601,38.444248,16.580223,"Stilida, Kaulonia, Caulonia, ","Punta Stilo, at Monasterace Marina","Antonine, Itin Mar",,Italy West,a,,,,,,,,,,
602,38.745804,16.562943,Vivarium ,near Catalunga Pietragrande,,BAtlas,Italy West,m,,,,,,,,,,
603,38.822600,16.628427,"Scylletium, Scolacium ",near Catanzaro Lido,,BAtlas,Italy West,m,,,,,,,,,,
604,38.857760,16.713868,"Castra Hannibalis, Camp of Annibal ",near Sellia Marina,"Pliny, Hist Nat, 3, 15 ; Solinus, Polyhistor, 3",BAtlas,Italy West,a,,,,,,,,,,
605,38.926335,16.897527,Tacina ,near Steccato,,BAtlas,Italy West,m,,,,,,,,,,
606,38.903404,17.023685,,Le Castella ,,BAtlas,Italy West,m,p,,,,,,,,,
607,38.899004,17.089870,"Port of Aphrodite, Cape Iapygie, Iapygium, Sallentin ",Cape Rizzuto,"Dionysius, Antiquités, 1, 51",RE,Italy West,a,,,,,,,,,,
608,39.030655,17.208040,"Naus promontario, Lacinium promontario, Hera temple ",Capo delle Colonne,"Antonine, Itin Mar",BAtlas,Italy West,a,,,,,,,,,,
609,39.096910,17.117497,"Kroton, Crotone and the port of Aesarus ",Crotone,"Livy, Hist, 24, 2 ; Diodorus, Hist, 14, 25 ; Polybius, Hist, 10, 1 ; Strabo, Geogr, 6,1 ; Antonine, Itin Mar","Lehmann, Flemming",Italy West,a,p,rs,X,,,,,,,
610,39.197938,17.153176,Meto ,outlet of R Neto,,BAtlas,Italy West,m,,,,,,,,,,
611,39.370149,17.140861,Krimisa ,near Ciro Marina,,BAtlas,Italy West,m,p,,,,,,,,,
612,39.471972,17.035646,Paternum ,near Torretta,,BAtlas,Italy West,m,,,,,,,,,,
613,39.626315,16.761230,greek Sybaris ,near Mirto and Crosia,,BAtlas,Italy West,m,,,,,,,,,,
614,39.623244,16.655603,"Portus Roscia, Rouskiane ",Rossano,,"CG, BAtlas",Italy West,m,,,,,,,,,,
615,39.717044,16.491191,"Thurium, Thurii, Copia, port of archaic Sybaris ",Laghi di Sibari,"Diodorus, Hist, 13, 2","BAtlas, Blackman, Flemming",Italy West,a,p,r,,,,,X,,,
616,39.865106,16.538059,,Trebisacce ,,BAtlas,Italy West,m,,,,,,,,,,
617,39.931129,16.611056,Ad Vicesimum ,near Amendolara,,BAtlas,Italy West,m,,,,,,,,,,
618,40.038038,16.603421,,Montegiordano ,,BAtlas,Italy West,m,,,,,,,,,,
619,40.102151,16.633812,Cugno dei Vagni ,near Rocca Imperiale,,BAtlas,Italy West,m,,,,,,,,,,
620,40.123935,16.660962,,Piano San Pietro ,,BAtlas,Italy West,m,,,,,,,,,,
621,40.139716,16.684480,,Semnum ,,BAtlas,Italy West,m,,,,,,,,,,
622,40.159428,16.702528,Siris ,near Bosco Pantano ?,,"Flemming, BAtlas",Italy West,m,,,,,,,,,,
623,40.220420,16.671326,"Heraclea, Héraclée ",Policoro,"Strabo, Geogr, 6,1","CG, Flemming",Italy West,a,p,,,,,,,,,
624,40.375544,16.831957,"Metapontum, Metaponte",Metaponto,"Livy, Hist, 25, 11","Lehmann, Flemming",Italy West,a,,r,,,,X?,,X?,,
625,40.472032,17.228144,"Tarente, Taras, Neptuna ",Tarento,"Livy, Hist, 25, 11 & 27,15 & 41, 1 ; Appian, Hannibalique, 6 ; Polybius, Hist, 8, 8 & 10, 1 ; Strabo, Geogr, 6,3 ; Thucydides, Péloponnèse, 6, 104",Flemming,Italy West,a,p,,,,,,,,,
626,40.360049,17.235684,"Port Scéin, Scean port", ? near Tarento,"Diodorus, Hist, 8",,Italy West,a,,,,,,,,,,
627,40.372795,17.302524,"Satyrion, Saturnum ",Saturo,,BAtlas,Italy West,m,,,,,,,,,,
628,40.302099,17.500548,,Torre Ovo ,,BAtlas,Italy West,m,,,,,,,,,,
629,40.252471,17.900352,Port Sasina ,Porto Cesareo,"Pliny, Hist Nat, 3, 16",BAtlas,Italy West,a,,,,,,,,,,
630,40.137046,17.983673,,Santa Caterina ,,BAtlas,Italy West,m,,,,,,,,,,
631,40.054413,17.979931,"Kallipolis, Anxa ",Gallipoli,,"BAtlas, Flemming",Italy West,m,,,,,,,,,,
632,39.883041,18.114451,,Torre San Giovanni ,,BAtlas,Italy West,m,,,,,,,,,,
633,39.792157,18.362675,"Leuca, Portus Sallentinus ",South Cape of Calabria,"Antonine, Itin Mar",BAtlas,Italy West,a,,,,,,,,,,
634,38.261545,15.647675,Traiectus ,near Torre di Faro,,BAtlas,Italy Sicily,m,,,,,,,,,,
635,38.192865,15.560811,"Zancle, Zankle, Messana, Messène, Homer's Port Creux (Hollow port) where Odysseus had a stopover?","Messina, NE cape","Homer, Odyssey, 12, 304 ; Caesar, Guerre civile, 2, 3 ; Appian, Guerres civiles, 5, 6 & 13 ; Diodorus, Hist, 4, 36 & 14, 15 & 14, 25; Pausanias, Grèce, 4, 23 ; Livy, Hist, 21, 49 ; Thucydides, Péloponnèse, 6, 50 ; Scylax, Peripl ; Antonine, Itin Mar ; Polyaenus, Stratagèmes, 6, 16","Lehmann, Flemming, Cuisenier",Italy Sicily,a,,,,,,,,,,
636,38.145129,15.536584,,Pistunina ,,BAtlas,Italy Sicily,m,,,,,,,,,,
637,37.958114,15.383824,"Phoinix, Tamaricii, Palmae ",near Furci Siculo,,BAtlas,Italy Sicily,m,,,,,,,,,,
638,37.848105,15.302357,Tauromenium ,Taormina,"Plutarch, Timoléon, 11 ; Antonine, Itin Mar",Flemming,Italy Sicily,a,,,,,,,,,,
639,37.826392,15.273021,"Naxos, Naxus ",Giardini-Naxos,"Diodorus, Hist, 13, 2","Lehmann, Loven",Italy Sicily,a,,r,,,,,,X,,
640,37.572564,15.171274,Acium ,Capo Mulini,,"BAtlas, Flemming",Italy Sicily,m,,,,,,,,,,
641,37.559234,15.168870,"Reefs of the Cyclopes, Odysseus' port of the Cyclopes ? ","Islets of Faraglioni, in front of Aci Tressa (Cuisenier mentions this site with two other possible sites: Marettimo and Nisida, the latter clearly providing the best shelter as described by Homer)","Homer, Odyssey, 9, 136 ; Pliny, Histoire Naturelle, 3, 14","BAtlas, Cuisenier",Italy Sicily,a,,,,,,,,,,
642,37.529208,15.118541,"Ulixis portus, Port of Odysseus ",Ognina,,BAtlas,Italy Sicily,m,,,,,,,,,,
643,37.498300,15.092419,Catina ,Catania,"Pliny, Hist Nat, 3, 14 ; Thucydides, Péloponnèse, 6, 50 ; Antonine, Itin Mar",Flemming,Italy Sicily,a,p,,,,,,,,,
644,37.310011,15.132834,,Punta Castelluccio ,,BAtlas,Italy Sicily,m,,,,,,,,,,
644.1,37.282776,15.186556,,Brucoli,,AdG,Italy Sicily,m,p,,,,,,,,,
645,37.211162,15.185739,"Megara Hyblaea, Port Xiphon ",Augusta,"Scylax, Peripl","Lehmann, BAtlas, Flemming",Italy Sicily,a,p,r,,X,,,,,,
646,37.145257,15.228473," Tapsus, Thapsos ",peninsula of Magnisi,"Thucydides, Péloponnèse, 6, 99 to 102 ; Antonine, Itin Mar",Flemming,Italy Sicily,a,,,,,,,,,,
647,37.117339,15.247193,Leon ,near Casa Targia,,BAtlas,Italy Sicily,m,,,,,,,,,,
648,37.108397,15.277736,"Trogili, Trogile ","near a tower called Géléagre, at Syracuse, Santa Panagia","Livy, Hist, 25, 23",,Italy Sicily,a,,,,,,,,,,
649,37.068477,15.294523,"Syracuse, Syrakus, « Small Port », Lakkios",Porto Lachio  at Syracuse,"Diodorus, Hist, 14, 3","Lehmann, Loven",Italy Sicily,a,,r,,,,,,X,,
650,37.059035,15.290503,"Syracuse, Port of Arethuse on the isle of Ortygia","Port of Arethuse, on the isle of Ortiga","Procopius, Guerre Vandales, 1, 14 ; Strabo, Geogr, 6,2 ; Antonine, Itin Mar",RE,Italy Sicily,a,,,,,,,,,,
651,37.048459,15.284872,"Syracuse, « Large Port »",Siracusa,"Livy, Hist, 24, 36 & 25, 25 & 29, 22 ; Pliny, Hist Nat, 3, 14 ; Diodorus, Hist, 13, 2 to 17 & 14, 13 & 14, 16 & 20, 5 & 20, 61 & 22, 12) ; Luc, Actes, 28.12 ; Nepos, Dion, 9, Thucydides, Péloponnèse, 6, 50 to 102 & 7, 4 to 69 ; Plutarch, Nicias, 21-34 & Timoléon, 12-19 ; Scylax, Peripl ; Antonine, Itin Mar ; Polyaenus, Stratagèmes, 2, 11 & 5, 32","RE, Flemming, Blackman",Italy Sicily,a,p,rs,,,,,,,,
652,37.050281,15.274226,"Syracuse, Port of Olympia",near the outlet of R Anapus ?,"Diodorus, Hist, 13, 2 ; Scylax, Peripl",,Italy Sicily,a,,,,,,,,,,
653,37.042482,15.305743,Dascon ,Massoliveri,"Diodorus, Hist, 14, 18",BAtlas,Italy Sicily,a,,,,,,,,,,
654,36.956110,15.214525,Port Nausthamus ,Fontane Bianche ?,"Pliny, Hist Nat, 3, 14",BAtlas,Italy Sicily,a,,,,,,,,,,
655,36.835198,15.113749,"Helorus, Elorus ","Eloro, on R Tellaro near Noto",,Flemming,Italy Sicily,m,,,,,,,,,,
656,36.796225,15.102762,Phoenicus Portus ,Torre Vendicari,"Ptol, Geogr, 3, 4",BAtlas,Italy Sicily,a,,,,,,,,,,
657,36.777082,15.100021,,Cittadella ,,BAtlas,Italy Sicily,m,,,,,,,,,,
658,36.678653,15.139942,"Portus Pachyni, Pachyno, Apollineum ",Portopalo di Capo Passero South of Sicily,"Antonine, Itin Mar",BAtlas,Italy Sicily,a,,,,,,,,,,
659,36.696902,14.998671,Odysseae Portus ,near Granelli,,BAtlas,Italy Sicily,m,,,,,,,,,,
660,36.702809,14.773304,"Hereum, Cymbe ",near Marina di Modica,,BAtlas,Italy Sicily,m,,,,,,,,,,
661,36.788665,14.507320,Caucana Portus ,Punta Secca,"Ptol, Geogr, 3, 4","Lehmann, BAtlas",Italy Sicily,a,,,,,,,,,,
662,36.866878,14.440957,,Camarina ,,"BAtlas, Flemming",Italy Sicily,m,,,,,,,,,,
663,36.927737,14.399822,Mesopotamium ,about 5 km North of Scoglitti,,BAtlas,Italy Sicily,m,,,,,,,,,,
664,37.026439,14.303401,Calvisiana ,near Piano Rizzuto,,BAtlas,Italy Sicily,m,,,,,,,,,,
665,37.051839,14.256790,,Gela ,,"BAtlas, Flemming",Italy Sicily,m,,,,,,,,,,
666,37.079085,14.191874,Chalae ? ,near Montelungo,,BAtlas,Italy Sicily,m,,,,,,,,,,
667,37.100201,14.138661,,Torre di Manfria ,,BAtlas,Italy Sicily,m,,,,,,,,,,
668,37.101488,13.937740,Phintias ,Licata,"Strabo, Geogr, 6, 2 ; Diodorus, Hist, 24","BAtlas, Flemming",Italy Sicily,a,p,,,,,,,,,
669,37.100827,13.880875,Eknomos ? ,near Mollarella,,BAtlas,Italy Sicily,m,,,,,,,,,,
670,37.114826,13.856089,"Daedalium, Dedalium, Omphale ",Rocca San Nicola,,Flemming,Italy Sicily,m,,,,,,,,,,
671,37.144488,13.780019,Castellazzo di Palma di Montechiaro and Narasette ,access via Spiaggia di Malerba ?,,BAtlas,Italy Sicily,m,,,,,,,,,,
672,37.179570,13.695341,,Castello di Palma di Montechiaro ,,BAtlas,Italy Sicily,m,,,,,,,,,,
673,37.262515,13.571885,"Agrakas, Akragas, Agrigentum ",Agrigento,"Diodorus, Hist, 13, 83 ; Strabo, Geogr, 6,2 ; Antonine, Itin Mar","Lehmann, Flemming",Italy Sicily,a,p,rs,X,,,,,,,
674,37.289874,13.463407,,Durrueli di Realmonte ,,BAtlas,Italy Sicily,m,,,,,,,,,,
675,37.389287,13.283856,Heraclea Minoa ,Heraclea Minoa ,"Plutarch, Dio 28 & Nicias 8",CG,Italy Sicily,a,,,,,,,,,,
676,37.414943,13.256671,,Borgo Bonsignore ,,BAtlas,Italy Sicily,m,,,,,,,,,,
677,37.580589,12.829151,"Selinus, Selinunt, Selinonte ",Selinonte,"Diodorus, Hist, 14, 14","Lehmann, Flemming",Italy Sicily,a,,rs,X,X,,,,,,
678,37.644211,12.587605,Mazara ,Mazara ,,"Lehmann, Flemming",Italy Sicily,m,p,r,,X,,,,,,
679,37.808131,12.428115,"Lilybaion, Lilybée ","Cape Boeo, at Marsala","Caesar, Guerre d’Afrique, 34, Livy, Hist, 21, 49-50 & 29, 24 ; Diodorus, Hist, 24 & 36 ; Polybius, Hist, 1, 44 & 47 & 59 ; Antonine, Itin Mar","Carayon, Lehmann",Italy Sicily,a,,rs,X,,,,,,,
680,37.812400,12.443337,"Lilybaion, Lilybée ","Punta Alga, at Marsala","Caesar, Guerre d’Afrique, 34, Livy, Hist, 21, 49-50 & 29, 24 ; Diodorus, Hist, 24 & 36 ; Polybius, Hist, 1, 44 & 47 & 59 ; Antonine, Itin Mar","Carayon, Lehmann",Italy Sicily,a,,,,,,,,,,
681,37.841595,12.447225,,"Isola Grande, Lehmann mentions a môle at the southern tip of this island",,Lehmann,Italy Sicily,m,,rs,X?,,,,,,,
682,37.864546,12.465754,"Motye, Motyée ","Mozia, on the isle of San Pantaleo, Lehmann mentions a connecting breakwater between the island and the continent","Diodorus, Hist, 13, 61 & 14,14 ; Polyaenus, Stratagèmes, 5, 2","Carayon, Lehmann, Flemming",Italy Sicily,a,,r,X,X,,X,,,,X?
683,38.007961,12.502194,"Drepanum, Drepane ",Trapani,"Virgil, Enéïde, 5, 114 ; Diodorus, Hist, 22, Fragments ; Polybius, Hist, 1, 46 & 50 & 59 & 61","Carayon, RE, Flemming",Italy Sicily,a,p,,,,,,,,,
684,37.934044,12.322489,"Aigousa, Favignana, Odysseus' port of the Cyclopes ?","Favignana, on the isle of Favignana, the largest of the Egadi islands (Cuisenier mentions this site with two other possible sites: Faraglioni and Nisida, the latter clearly providing the best shelter as described by Homer)","Homer, Odyssey, 9, 136","Carayon, Cuisenier",Italy Sicily,a,p,,,,,,,,,
685,37.970422,12.077769,"Maritima, Hiera","Marettimo, on the isle of Marettimo, furthest of the Egadi islands","Antonine, Itin Mar",Cuisenier,Italy Sicily,a,,,,,,,,,,
686,38.070435,12.589630,"Erix, Eryx, Erice ",access via Porto di Bonagia ?,"Diodorus, Hist, 15, 73 ; Diodorus, Hist, 24",Flemming,Italy Sicily,a,,,,,,,,,,
687,38.036031,12.893104,Emporion Segestanon ,Castellamare del Golfo,,BAtlas,Italy Sicily,m,,,,,,,,,,
688,38.703901,13.199545,"Os, Osteodes","Ustica, on the island di Ustica","Diodorus, Hist, 5, 8",,Italy Sicily,a,,,,,,,,,,
689,38.176870,13.194336,Hyccara ,Carini,,Flemming,Italy Sicily,m,,,,,,,,,,
690,38.120398,13.368583,Panorme,Palermo,"Livy, Hist, 24, 36 ; Diodorus, Hist, 22 & 23 &24 ; Procopius, Guerre Goths, 1, 5 ; Polybius, Hist, 1, 39","Carayon, Flemming",Italy Sicily,a,p,,,,,,,,,
691,38.081694,13.542862,"Solus, port of Solonte ",Solanto-Porticello,,"Carayon, Flemming",Italy Sicily,m,p,,,,,,,,,
692,37.993991,13.690394,"Thermai, Thermae Himeraeae ",Termini Imerese,,"Lehmann, Flemming",Italy Sicily,m,p,rs,X,,,,,,,
693,37.984750,13.822522,"Himera, Himère ",at the outlet of R Grande East of Termini,"Diodorus, Hist, 13, 61",Flemming,Italy Sicily,a,,,,,,,,,,
694,38.031792,13.980740,,"Settefrati, near Mazzaforno",,BAtlas,Italy Sicily,m,,,,,,,,,,
695,38.043883,14.024107,"Cephaloedium, Cephalidium ",Cefalu,"Diodorus, Hist, 23",Flemming,Italy Sicily,a,,,,,,,,,,
696,38.011622,14.259428,Halaesa ,near Castel di Tusa,,BAtlas,Italy Sicily,m,,,,,,,,,,
697,38.036496,14.448292,"Kale Akte, Calate ",near Marina di Caronia,,"BAtlas, Flemming",Italy Sicily,m,,,,,,,,,,
698,38.155815,14.730986,Agathyrnum ,near le Capo d’Orlando,,BAtlas,Italy Sicily,m,,,,,,,,,,
699,38.159205,14.770350,,Bagnoli di San Gregorio ,,BAtlas,Italy Sicily,m,,,,,,,,,,
700,38.153514,14.983391,,Patti Marina ,,BAtlas,Italy Sicily,m,,,,,,,,,,
701,38.546846,14.455249,Egira and Celsina ,Isles of Alicudi and Filicudi,"Antonine, Itin Mar",,Italy Sicily,a,,,,,,,,,,
702,38.564784,14.845975,Didyma ,Isle of Salina,"Antonine, Itin Mar",Flemming,Italy Sicily,a,,,,,,,,,,
703,38.472490,14.960879,Liparos ,"Porto Pignataro, on the isle of Lipari","Diodorus, Hist, 5, 7 ; Polybius, Hist, 1, 21 ; Antonine, Itin Mar","Flemming, Cuisenier",Italy Sicily,a,,,,,,,,,,
704,38.416361,14.966446,"Heraclea, Hiera Thermessa ","Porto Vulcano, on the isle of Vulcano","Diodorus, Hist, 24 ; Antonine, Itin Mar",,Italy Sicily,a,,,,,,,,,,
705,38.627480,15.066238,Aegina ,"Caletta dei Zimmeri, South of the isle of Panarea","Antonine, Itin Mar",Cuisenier,Italy Sicily,a,,,,,,,,,,
706,38.661086,15.114110, Heracleotes ,Isle of Basiluzzo,"Antonine, Itin Mar",,Italy Sicily,a,,,,,,,,,,
707,38.797457,15.244209,"Strongilos, Eolie, capital of Aeolus's kingdom and Odysseus' stopover","beach of San Vincenzo, on the isle of Stromboli","Antonine, Itin Mar",Cuisenier,Italy Sicily,a,,,,,,,,,,
708,38.138817,15.059905,Tyndaris ,Tindari,"Polybius, Hist, 1, 25",Flemming,Italy Sicily,a,,,,,,,,,,
709,38.146439,15.150606,,Castroreale San Biagio ,,BAtlas,Italy Sicily,m,,,,,,,,,,
710,38.221505,15.256283,"Myle, Mylae ",Milazzo,"Scylax, Peripl",Flemming,Italy Sicily,a,p,,,,,,,,,
711,38.225090,15.371783,"Naulochos, Naulocha ",near Venetico Marina,,"Lehmann, Flemming",Italy Sicily,m,,r,,,X,,,,,
712,35.881465,14.442950,"Malta, Isle of Melite, Isle of Gaulos, Isle of Cercine","Isles of Malta, Gozo and Comino","Diodorus, Hist, 5, 9 ; Procopius, Guerre Vandales, 1, 14 ; Luc, Actes, 28.1 ; Strabo, Geogr, 6,2 ; Scylax, Peripl ; Antonine, Itin Mar","Lehmann, Flemming",Malta,a,,,,,,,,,,
713,35.974829,14.364465,,Mellieha bay,,AdG,Malta,m,p,,,,,,,,,
714,35.953129,14.396146,,"San Pawl, Saint Paul's bay",,"Carayon, Bonanno",Malta,m,p,,,,,,,,,
714.1,35.950760,14.426772,,"Salini, Salina bay",,"Carayon, Bonanno",Malta,m,,,,,,,,,,
714.2,35.926135,14.488961,,Saint George's bay,,AdG,Malta,m,p,,,,,,,,,
715,35.917335,14.495520,,"San Giljan, Spinola bay",,Carayon,Malta,m,,,,,,,,,,
716,35.901145,14.499356,,"Manoel island, Gzira creek",,"Carayon, Bonanno",Malta,m,p,,,,,,,,,
716.1,35.896406,14.494795,,"Marsamxett, Msida creek",,AdG,Malta,m,p,,,,,,,,,
717,35.880722,14.500837,Marsa ,"Marsa, Ta'Cejlu",,"Carayon, Bonanno",Malta,m,,,,,,,,,,
717.1,35.882075,14.516792,,"Grand Harbour, French creek",,"Carayon, Bonanno",Malta,m,,,,,,,,,,
717.2,35.884860,14.520633,,"Grand Harbour, Dockyard creek",,"Carayon, Bonanno",Malta,m,p,,,,,,,,,
718,35.864915,14.571825,,Marsaskala ,,Carayon,Malta,m,p,,,,,,,,,
719,35.839407,14.548045,,Marsaxlokk ,,"Carayon, Bonanno",Malta,m,p,r,,,,,,,,X?
719.1,35.830815,14.531931,,"Birzebbuga, Saint George's bay",,Bonanno,Malta,m,p,,,,,,,,,
719.2,35.823451,14.531640,,"Birzebbuga, Pretty bay",,Bonanno,Malta,m,p,,,,,,,,,
720,35.907770,14.335288,,Ras ir Raheb ,,BAtlas,Malta,m,,,,,,,,,,
721,35.931284,14.341587,,Ghajn Tuffieha and Golden bay,,"Carayon, Bonanno",Malta,m,,,,,,,,,,
721.1,36.012741,14.323565,,"Blue Lagoon, on the isle of Comino",,AdG,Malta: Comino,m,p,,,,,,,,,
722,36.023646,14.304262,,"Mgarr, on the isle of Gozo",,"Carayon, Bonanno",Malta: Gozo,m,p,,,,,,,,,
723,36.062491,14.283872,,"Ramla, on the isle of Gozo",,"Carayon, Bonanno",Malta: Gozo,m,,rs,,X?,,,,,,
724,36.073457,14.259978,,"Marsalforn, on the isle of Gozo",,"Carayon, Bonanno",Malta: Gozo,m,p,,,,,,,,,
725,36.028400,14.214072,,"Xlendi, on the isle of Gozo",,"Carayon, Bonanno",Malta: Gozo,m,,,,,,,,,,
725.1,36.019642,14.271601,,"Mgarr ix Xini, on the isle of Gozo",,Bonanno,Malta: Gozo,m,p,,,,,,,,,
726,36.831534,11.941101," Cossura, Kossura ","Pantelleria, on the isle of Pantelleria","Antonine, Itin Mar","Carayon, Lehmann, Flemming",Italy Pantelleria,a,p,r,X,,,,,,,
727,35.861034,12.869306," Hefaesta, Efesta ",Isle of Linosa ?,"Antonine, Itin Mar",,Italy Linosa,a,,,,,,,,,,
728,35.499083,12.608044," Falacron, Falacro ","Lampedusa, on the isle of Lampedusa ?","Antonine, Itin Mar",Carayon,Italy Lampedusa,a,p,,,,,,,,,
729,40.011636,18.435411,"Castrum Minerva, Port of Venus, Limen Aphrodites, Athenaion ",Castro,"Virgil, Enéïde, 3, 328 ; Dionysius, Antiquités, 1, 51 ; Strabo, Geogr, 6,1","BAtlas, Flemming",Italy Adriatic,a,,,,,,,,,,
730,40.148182,18.490869,"Hydros, Hydrunte, Otrante ",Otranto,"Pausanias, Grèce, 6, 19 ; Livy, Hist, 36, 21 ; Procopius, Guerre Goths, 3, 10 ; Scylax, Peripl ; Antonine, Itin Mar",Flemming,Italy Adriatic,a,,,,,,,,,,
731,40.289242,18.428936,Port Tarentin ,near Rocca Vecchia or San Foca ?,"Pliny, Hist Nat, 3, 16",BAtlas,Italy Adriatic,a,,,,,,,,,,
732,40.301208,18.409136,,San Foca ,,BAtlas,Italy Adriatic,m,,,,,,,,,,
733,40.386459,18.307982,"Hadrianou Hormos, port of Lupiae, Miltopiae ? ","port of Lecce, at San Cataldo ?","Pausanias, Grèce, 6, 19 ; Pliny, Hist Nat, 3, 16","Lehmann, BAtlas",Italy Adriatic,a,,,,,,,,,,
734,40.641441,17.948953,"Brindes, Brentesium, Brundisium, Bronduse, with possibly two ancient lighthouses: on Barra island and at the entrance of the inner port",Brindisi,"Tacitus, Annales, 3, 1 ; Caesar, Guerre civile, 3, 24 ; Plutarch, Pompée, 62 ; Dio Cassius, 41, 48 ; Pliny, Hist Nat, 3, 16 ; Livy, Hist, 44, 1 ; Strabo, Geogr, 6,3 ; Antonine, Itin Mar ; Polyaenus, Stratagèmes, 8, 24","Lehmann, Flemming, Christiansen",Italy Adriatic,a,,r,,,,,,,X?,
735,40.688558,17.866423,,Apani near Torre Rossa ,,BAtlas,Italy Adriatic,m,,,,,,,,,,
736,40.711631,17.801248,,Torre Guaceto ,,BAtlas,Italy Adriatic,m,,,,,,,,,,
737,40.778785,17.649236,Ad Speluncas ,near Costa Merlata,,BAtlas,Italy Adriatic,m,,,,,,,,,,
738,40.814565,17.522500,Ad Decimum ,near Pilone,,BAtlas,Italy Adriatic,m,,,,,,,,,,
739,40.888479,17.393017,Gnathia ,"Egnazia, where a large submerged caisson was found",,"Lehmann, Flemming, Blackman",Italy Adriatic,m,,rs,X,,,,,,,
740,40.962258,17.300749,Diria ? ,near Monopoli,,BAtlas,Italy Adriatic,m,,,,,,,,,,
741,40.998310,17.220483,"Turris Caesaris, Neapolis ",near Polignano,,BAtlas,Italy Adriatic,m,,,,,,,,,,
